task_id,experience_id,condition,shift_category,hard_easy,baseline_success,condition_success,delta,ambiguous,noise_caution,delta_eff_completion_tokens,delta_eff_tool_call_count,retry_count_delta
bfcl_irrelevance_115,exp_bfcl_irrelevance_139,oracle,distractor_tool,hard,False,False,0,True,False,,,0
bfcl_irrelevance_115,exp_bfcl_parallel_multiple_190,retrieved,distractor_tool,hard,False,False,0,True,False,,,0
bfcl_irrelevance_86,exp_bfcl_irrelevance_139,oracle,distractor_tool,hard,False,False,0,True,False,,,0
bfcl_irrelevance_86,exp_bfcl_simple_python_72,retrieved,distractor_tool,hard,False,False,0,True,False,,,-1
bfcl_irrelevance_19,exp_bfcl_irrelevance_139,oracle,distractor_tool,easy,True,True,0,True,False,7,0,0
bfcl_irrelevance_19,exp_bfcl_irrelevance_14,retrieved,distractor_tool,easy,True,True,0,True,False,-406,0,-1
bfcl_simple_python_165,exp_bfcl_simple_python_190,oracle,familiar,hard,False,True,1,False,False,,,2
bfcl_simple_python_165,exp_bfcl_simple_python_77,retrieved,familiar,hard,False,True,1,False,False,,,2
bfcl_simple_python_203,exp_bfcl_simple_python_190,oracle,familiar,hard,False,True,1,False,False,,,0
bfcl_simple_python_203,exp_bfcl_parallel_multiple_190,retrieved,familiar,hard,False,True,1,False,False,,,-1
bfcl_simple_python_120,exp_bfcl_simple_python_190,oracle,familiar,easy,True,True,0,True,False,-63,0,-1
bfcl_simple_python_120,exp_bfcl_simple_python_72,retrieved,familiar,easy,True,True,0,True,False,-94,0,0
bfcl_parallel_multiple_67,exp_bfcl_simple_python_2,oracle,novel_composition,hard,False,False,0,True,False,,,0
bfcl_parallel_multiple_67,exp_bfcl_simple_python_2,retrieved,novel_composition,hard,False,False,0,True,False,,,0
bfcl_parallel_19,exp_bfcl_parallel_34,oracle,novel_composition,hard,False,False,0,True,False,,,-1
bfcl_parallel_19,exp_bfcl_irrelevance_51,retrieved,novel_composition,hard,False,False,0,True,False,,,0
bfcl_parallel_143,exp_bfcl_parallel_34,oracle,novel_composition,easy,True,True,0,True,False,111,0,0
bfcl_parallel_143,exp_bfcl_parallel_67,retrieved,novel_composition,easy,True,True,0,True,False,136,0,0
bfcl_multiple_190,exp_bfcl_irrelevance_229,oracle,novel_tool,hard,False,False,0,True,True,,,1
bfcl_multiple_190,exp_bfcl_multiple_81,retrieved,novel_tool,hard,False,False,0,True,True,,,1
bfcl_multiple_76,exp_bfcl_multiple_115,oracle,novel_tool,hard,False,True,1,False,True,,,1
bfcl_multiple_76,exp_bfcl_multiple_20,retrieved,novel_tool,hard,False,False,0,True,True,,,1
bfcl_multiple_4,exp_bfcl_multiple_115,oracle,novel_tool,easy,True,True,0,True,True,-46,0,2
bfcl_multiple_4,exp_bfcl_irrelevance_14,retrieved,novel_tool,easy,True,True,0,True,True,-5,0,2
bfcl_multiple_15,exp_bfcl_multiple_115,oracle,novel_tool,easy,True,True,0,True,True,-5,0,3
bfcl_multiple_15,exp_bfcl_irrelevance_139,retrieved,novel_tool,easy,True,True,0,True,True,11,0,3
bfcl_simple_python_320,exp_bfcl_simple_python_190,oracle,familiar,easy,True,True,0,True,False,54,0,0
bfcl_simple_python_320,exp_bfcl_multiple_171,retrieved,familiar,easy,True,True,0,True,False,15,0,0
bfcl_parallel_98,exp_bfcl_parallel_34,oracle,novel_composition,hard,False,True,1,False,False,,,0
bfcl_parallel_98,exp_bfcl_simple_python_43,retrieved,novel_composition,hard,False,True,1,False,False,,,0
bfcl_parallel_multiple_148,exp_bfcl_parallel_34,oracle,novel_composition,easy,True,True,0,True,False,-5,0,0
bfcl_parallel_multiple_148,exp_bfcl_multiple_83,retrieved,novel_composition,easy,True,True,0,True,False,-532,0,0
bfcl_simple_python_373,exp_bfcl_simple_python_190,oracle,familiar,hard,False,False,0,True,False,,,0
bfcl_simple_python_373,exp_bfcl_irrelevance_229,retrieved,familiar,hard,False,False,0,True,False,,,0
bfcl_parallel_multiple_169,exp_bfcl_parallel_34,oracle,novel_composition,hard,False,True,1,False,False,,,0
bfcl_parallel_multiple_169,exp_bfcl_multiple_171,retrieved,novel_composition,hard,False,True,1,False,False,,,0
bfcl_irrelevance_10,exp_bfcl_irrelevance_139,oracle,distractor_tool,easy,True,True,0,True,False,36,0,0
bfcl_irrelevance_10,exp_bfcl_multiple_20,retrieved,distractor_tool,easy,True,True,0,True,False,-8,0,0
bfcl_multiple_46,exp_bfcl_multiple_115,oracle,novel_tool,easy,True,True,0,True,True,-64,0,1
